id,prompt,CLIPScore
0_A Christmas tree with lights_0,A Christmas tree with lights and teddy bear,29.23
0_A Christmas tree with lights_1,A Christmas tree with lights and teddy bear,29.18
0_A Christmas tree with lights_2,A Christmas tree with lights and teddy bear,30.90
0_A Christmas tree with lights_3,A Christmas tree with lights and teddy bear,29.94
0_A Christmas tree with lights_4,A Christmas tree with lights and teddy bear,28.78
0_A Christmas tree with teddy bear_1,A Christmas tree with lights and teddy bear,34.66
0_A Christmas tree with teddy bear_2,A Christmas tree with lights and teddy bear,32.96
0_A Christmas tree with teddy bear_4,A Christmas tree with lights and teddy bear,31.76
0_A Christmas tree_0,A Christmas tree with lights and teddy bear,24.78
0_A Christmas tree_1,A Christmas tree with lights and teddy bear,27.62
0_A Christmas tree_2,A Christmas tree with lights and teddy bear,27.70
coco_325049_stable_diffusion_v2_1,A group of planes near a large wall of windows.,35.16
1_A group of planes._0,A group of planes near a large wall of windows.,31.56
1_A group of planes._1,A group of planes near a large wall of windows.,31.73
1_A group of planes._2,A group of planes near a large wall of windows.,28.71
1_A group of planes._3,A group of planes near a large wall of windows.,32.18
1_A group of planes._4,A group of planes near a large wall of windows.,30.33
1_A large wall of windows._0,A group of planes near a large wall of windows.,30.20
1_A large wall of windows._1,A group of planes near a large wall of windows.,26.86
1_A large wall of windows._2,A group of planes near a large wall of windows.,29.91
1_A large wall of windows._3,A group of planes near a large wall of windows.,28.95
1_A large wall of windows._4,A group of planes near a large wall of windows.,25.63
coco_549140_stable_diffusion_v2_1,A brown bear walking across a forest surrounded by trees..,31.55
2_A brown bear walking across a forest._0,A brown bear walking across a forest surrounded by trees..,33.12
2_A brown bear walking across a forest._1,A brown bear walking across a forest surrounded by trees..,34.09
2_A brown bear walking across a forest._2,A brown bear walking across a forest surrounded by trees..,31.90
2_A brown bear walking across a forest._3,A brown bear walking across a forest surrounded by trees..,32.19
2_A brown bear walking across a forest._4,A brown bear walking across a forest surrounded by trees..,33.45
