id,image,question_id,vqa_answer
0,000-00.jpg,0,Yes there is a Christmas tree in the image.</s>
0,000-00.jpg,1,Yes there are lights on the Christmas tree.</s>
0,000-00.jpg,2,Yes</s>
0,000-00.jpg,3,Yes the Christmas tree has lights on it.</s>
0,000-00.jpg,4,Yes</s>
0,000-01.jpg,0,Yes there is a Christmas tree in the image.</s>
0,000-01.jpg,1,Yes there are lights on the tree.</s>
0,000-01.jpg,2,No</s>
0,000-01.jpg,3,Yes the Christmas tree is lit up with lights.</s>
0,000-01.jpg,4,No</s>
0,000-02.jpg,0,Yes</s>
0,000-02.jpg,1,Yes</s>
0,000-02.jpg,2,No</s>
0,000-02.jpg,3,Yes</s>
0,000-02.jpg,4,No</s>
0,000-03.jpg,0,Yes there is a Christmas tree in the image.</s>
0,000-03.jpg,1,Yes there are lights on the Christmas tree.</s>
0,000-03.jpg,2,No</s>
0,000-03.jpg,3,Yes the lights on the Christmas tree are turned on.</s>
0,000-03.jpg,4,Yes</s>
0,000-04.jpg,0,Yes</s>
0,000-04.jpg,1,Yes</s>
0,000-04.jpg,2,No</s>
0,000-04.jpg,3,Yes</s>
0,000-04.jpg,4,Yes</s>
0,000-05.jpg,0,Yes</s>
0,000-05.jpg,1,Yes</s>
0,000-05.jpg,2,No</s>
0,000-05.jpg,3,Yes the lights on the Christmas tree are lit up.</s>
0,000-05.jpg,4,Yes</s>
0,000-06.jpg,0,Yes</s>
0,000-06.jpg,1,No</s>
0,000-06.jpg,2,Yes</s>
0,000-06.jpg,3,No the lights are not on the Christmas tree. The tree is decorated with ornaments including red balls.</s>
0,000-06.jpg,4,Yes</s>
0,000-07.jpg,0,Yes there is a Christmas tree in the image.</s>
0,000-07.jpg,1,Yes there are lights on the wall and the Christmas tree.</s>
0,000-07.jpg,2,Yes</s>
0,000-07.jpg,3,Yes</s>
0,000-07.jpg,4,Yes</s>
0,000-08.jpg,0,Yes there is a Christmas tree in the image.</s>
0,000-08.jpg,1,No</s>
0,000-08.jpg,2,Yes</s>
0,000-08.jpg,3,Yes the Christmas tree is decorated with lights.</s>
0,000-08.jpg,4,Yes the teddy bear is sitting on the floor next to the Christmas tree.</s>
0,000-09.jpg,0,Yes there is a Christmas tree in the image.</s>
0,000-09.jpg,1,No</s>
0,000-09.jpg,2,No</s>
0,000-09.jpg,3,No the Christmas tree is not lit up with lights.</s>
0,000-09.jpg,4,Yes</s>
0,000-10.jpg,0,Yes there is a Christmas tree in the image.</s>
0,000-10.jpg,1,No</s>
0,000-10.jpg,2,No</s>
0,000-10.jpg,3,Yes the Christmas tree has lights on it.</s>
0,000-10.jpg,4,No</s>
0,000-11.jpg,0,Yes</s>
0,000-11.jpg,1,No</s>
0,000-11.jpg,2,No</s>
0,000-11.jpg,3,Yes</s>
0,000-11.jpg,4,Yes</s>
1,001-00.jpg,0,Yes</s>
1,001-00.jpg,1,Yes there is a wall of windows in the image.</s>
1,001-00.jpg,2,Yes</s>
1,001-00.jpg,3,Yes</s>
1,001-01.jpg,0,Yes</s>
1,001-01.jpg,1,No there is no wall of windows in the image. The image features several airplanes parked on the ground.</s>
1,001-01.jpg,2,Yes</s>
1,001-01.jpg,3,No</s>
1,001-02.jpg,0,Yes</s>
1,001-02.jpg,1,No</s>
1,001-02.jpg,2,Yes</s>
1,001-02.jpg,3,No</s>
1,001-03.jpg,0,Yes</s>
1,001-03.jpg,1,No</s>
1,001-03.jpg,2,Yes</s>
1,001-03.jpg,3,No</s>
1,001-04.jpg,0,Yes</s>
1,001-04.jpg,1,No there is no wall of windows in the image. The image features a large number of airplanes parked on a tarmac.</s>
1,001-04.jpg,2,Yes</s>
1,001-04.jpg,3,No the planes are not near the wall of windows. They are on the ground parked in a field.</s>
1,001-05.jpg,0,Yes</s>
1,001-05.jpg,1,No</s>
1,001-05.jpg,2,Yes</s>
1,001-05.jpg,3,No the planes are not near the wall of windows. They are parked on the tarmac of an airport.</s>
1,001-06.jpg,0,No</s>
1,001-06.jpg,1,Yes</s>
1,001-06.jpg,2,No</s>
1,001-06.jpg,3,Yes</s>
1,001-07.jpg,0,No</s>
1,001-07.jpg,1,Yes</s>
1,001-07.jpg,2,No</s>
1,001-07.jpg,3,Yes</s>
1,001-08.jpg,0,No</s>
1,001-08.jpg,1,Yes there is a wall of windows on the building.</s>
1,001-08.jpg,2,No</s>
1,001-08.jpg,3,Yes</s>
1,001-09.jpg,0,No</s>
1,001-09.jpg,1,Yes</s>
