id,prompt,ALIGNSCore
0_A Christmas tree with lights_0,A Christmas tree with lights and teddy bear,12.34
0_A Christmas tree with lights_1,A Christmas tree with lights and teddy bear,13.84
0_A Christmas tree with lights_2,A Christmas tree with lights and teddy bear,13.46
0_A Christmas tree with lights_3,A Christmas tree with lights and teddy bear,12.71
0_A Christmas tree with lights_4,A Christmas tree with lights and teddy bear,15.03
0_A Christmas tree with teddy bear_1,A Christmas tree with lights and teddy bear,16.89
0_A Christmas tree with teddy bear_2,A Christmas tree with lights and teddy bear,19.49
0_A Christmas tree with teddy bear_4,A Christmas tree with lights and teddy bear,18.19
0_A Christmas tree_0,A Christmas tree with lights and teddy bear,8.78
0_A Christmas tree_1,A Christmas tree with lights and teddy bear,10.62
0_A Christmas tree_2,A Christmas tree with lights and teddy bear,12.80
coco_325049_stable_diffusion_v2_1,A group of planes near a large wall of windows.,14.51
1_A group of planes._0,A group of planes near a large wall of windows.,13.61
1_A group of planes._1,A group of planes near a large wall of windows.,12.79
1_A group of planes._2,A group of planes near a large wall of windows.,13.28
1_A group of planes._3,A group of planes near a large wall of windows.,13.42
1_A group of planes._4,A group of planes near a large wall of windows.,14.85
1_A large wall of windows._0,A group of planes near a large wall of windows.,7.22
1_A large wall of windows._1,A group of planes near a large wall of windows.,14.54
1_A large wall of windows._2,A group of planes near a large wall of windows.,7.68
1_A large wall of windows._3,A group of planes near a large wall of windows.,11.09
1_A large wall of windows._4,A group of planes near a large wall of windows.,11.45
coco_549140_stable_diffusion_v2_1,A brown bear walking across a forest surrounded by trees..,19.17
2_A brown bear walking across a forest._0,A brown bear walking across a forest surrounded by trees..,18.68
2_A brown bear walking across a forest._1,A brown bear walking across a forest surrounded by trees..,19.52
2_A brown bear walking across a forest._2,A brown bear walking across a forest surrounded by trees..,17.68
2_A brown bear walking across a forest._3,A brown bear walking across a forest surrounded by trees..,19.29
2_A brown bear walking across a forest._4,A brown bear walking across a forest surrounded by trees..,19.37
2_A brown bear surrounded by trees._0,A brown bear walking across a forest surrounded by trees..,18.28
2_A brown bear surrounded by trees._1,A brown bear walking across a forest surrounded by trees..,18.64
2_A brown bear surrounded by trees._2,A brown bear walking across a forest surrounded by trees..,17.82
2_A brown bear surrounded by trees._3,A brown bear walking across a forest surrounded by trees..,19.31
2_A brown bear surrounded by trees._4,A brown bear walking across a forest surrounded by trees..,18.94
2_A forest surrounded by trees._0,A brown bear walking across a forest surrounded by trees..,9.27
2_A forest surrounded by trees._1,A brown bear walking across a forest surrounded by trees..,8.48
2_A forest surrounded by trees._2,A brown bear walking across a forest surrounded by trees..,8.33
2_A forest surrounded by trees._3,A brown bear walking across a forest surrounded by trees..,8.86
2_A forest surrounded by trees._4,A brown bear walking across a forest surrounded by trees..,10.28
2_Forest._0,A brown bear walking across a forest surrounded by trees..,6.24
2_Forest._1,A brown bear walking across a forest surrounded by trees..,7.49
2_Forest._2,A brown bear walking across a forest surrounded by trees..,6.92
2_Forest._3,A brown bear walking across a forest surrounded by trees..,7.02
2_Forest._4,A brown bear walking across a forest surrounded by trees..,9.36
2_Trees._0,A brown bear walking across a forest surrounded by trees..,0.69
coco_483317_stable_diffusion_v2_1,A large motorcycle that is sitting outside of a building.,11.23
3_A large motorcycle that is sitting._0,A large motorcycle that is sitting outside of a building.,11.25
3_A large motorcycle that is sitting._1,A large motorcycle that is sitting outside of a building.,10.65
3_A large motorcycle that is sitting._2,A large motorcycle that is sitting outside of a building.,8.00
3_A large motorcycle that is sitting._3,A large motorcycle that is sitting outside of a building.,10.91
3_A large motorcycle that is sitting._4,A large motorcycle that is sitting outside of a building.,12.14
3_Outside of a building._0,A large motorcycle that is sitting outside of a building.,7.23
3_Outside of a building._1,A large motorcycle that is sitting outside of a building.,6.24
3_Outside of a building._2,A large motorcycle that is sitting outside of a building.,9.69
3_Outside of a building._3,A large motorcycle that is sitting outside of a building.,5.76
3_Outside of a building._4,A large motorcycle that is sitting outside of a building.,6.35
coco_361740_stable_diffusion_v2_1,A male skateboarder is trying to pull off a trick on the ramp.,14.23
4_A male skateboarder on the ramp._0,A male skateboarder is trying to pull off a trick on the ramp.,14.91
4_A male skateboarder on the ramp._1,A male skateboarder is trying to pull off a trick on the ramp.,13.97
4_A male skateboarder on the ramp._2,A male skateboarder is trying to pull off a trick on the ramp.,16.76
4_A male skateboarder on the ramp._3,A male skateboarder is trying to pull off a trick on the ramp.,14.35
4_A male skateboarder is trying to pull off a trick._0,A male skateboarder is trying to pull off a trick on the ramp.,14.83
4_A male skateboarder is trying to pull off a trick._1,A male skateboarder is trying to pull off a trick on the ramp.,14.65
4_A male skateboarder is trying to pull off a trick._2,A male skateboarder is trying to pull off a trick on the ramp.,16.12
4_A male skateboarder is trying to pull off a trick._4,A male skateboarder is trying to pull off a trick on the ramp.,15.91
4_Pulling off a trick on the ramp._0,A male skateboarder is trying to pull off a trick on the ramp.,14.39
4_Pulling off a trick on the ramp._1,A male skateboarder is trying to pull off a trick on the ramp.,13.46
4_Pulling off a trick on the ramp._2,A male skateboarder is trying to pull off a trick on the ramp.,10.45
4_Pulling off a trick on the ramp._3,A male skateboarder is trying to pull off a trick on the ramp.,12.57
4_Pulling off a trick on the ramp._4,A male skateboarder is trying to pull off a trick on the ramp.,12.65
5_A woman is showing a woman on a scooter._0,A woman is showing a scooter to another woman.,16.55
5_A woman is showing a woman on a scooter._1,A woman is showing a scooter to another woman.,17.58
5_A woman is showing a woman on a scooter._2,A woman is showing a scooter to another woman.,17.99
5_A woman is showing a woman on a scooter._3,A woman is showing a scooter to another woman.,16.15
5_A woman is showing a woman on a scooter._4,A woman is showing a scooter to another woman.,15.18
5_A woman is showing a watermelon slice to a woman._0,A woman is showing a scooter to another woman.,6.44
5_A woman is showing a watermelon slice to a woman._1,A woman is showing a scooter to another woman.,10.88
5_A woman is showing a watermelon slice to a woman._2,A woman is showing a scooter to another woman.,10.64
5_A woman is showing a watermelon slice to a woman._3,A woman is showing a scooter to another woman.,9.97
5_A woman is showing a watermelon slice to a woman._4,A woman is showing a scooter to another woman.,9.75
5_A woman on a scooter._0,A woman is showing a scooter to another woman.,12.72
5_A woman on a scooter._1,A woman is showing a scooter to another woman.,13.56
5_A woman on a scooter._2,A woman is showing a scooter to another woman.,13.09
5_A woman on a scooter._3,A woman is showing a scooter to another woman.,12.99
5_A woman on a scooter._4,A woman is showing a scooter to another woman.,11.35
5_A watermelon slice to a woman._0,A woman is showing a scooter to another woman.,4.01
5_A watermelon slice to a woman._2,A woman is showing a scooter to another woman.,4.00
5_A watermelon slice to a woman._3,A woman is showing a scooter to another woman.,2.76
5_A watermelon slice to a woman._4,A woman is showing a scooter to another woman.,4.05
5_A woman with a watermelon slice._1,A woman is showing a scooter to another woman.,3.68
5_A woman with a watermelon slice._2,A woman is showing a scooter to another woman.,4.24
5_A woman with a watermelon slice._3,A woman is showing a scooter to another woman.,2.06
5_A woman with a watermelon slice._4,A woman is showing a scooter to another woman.,3.66
5_A watermelon slice._0,A woman is showing a scooter to another woman.,3.01
5_A watermelon slice._1,A woman is showing a scooter to another woman.,3.28
5_A watermelon slice._2,A woman is showing a scooter to another woman.,2.75
5_A watermelon slice._3,A woman is showing a scooter to another woman.,2.65
5_A watermelon slice._4,A woman is showing a scooter to another woman.,3.88
5_A scooter._0,A woman is showing a scooter to another woman.,9.39
5_A scooter._1,A woman is showing a scooter to another woman.,10.43
5_A scooter._2,A woman is showing a scooter to another woman.,11.83
5_A scooter._3,A woman is showing a scooter to another woman.,10.96
coco_494732_stable_diffusion_v2_1,A man in a green suiit leaning over a laptop,16.72
6_A man in a green suit leaning over._0,A man in a green suiit leaning over a laptop,12.01
6_A man in a green suit leaning over._3,A man in a green suiit leaning over a laptop,9.92
6_A man in a green suit leaning over._4,A man in a green suiit leaning over a laptop,13.10
6_A man leaning over a laptop._0,A man in a green suiit leaning over a laptop,13.86
6_A man leaning over a laptop._1,A man in a green suiit leaning over a laptop,13.26
6_A man leaning over a laptop._2,A man in a green suiit leaning over a laptop,13.43
6_A man leaning over a laptop._4,A man in a green suiit leaning over a laptop,14.00
6_A green suit._1,A man in a green suiit leaning over a laptop,8.85
6_A green suit._2,A man in a green suiit leaning over a laptop,8.70
6_A green suit._3,A man in a green suiit leaning over a laptop,11.78
6_A green suit._4,A man in a green suiit leaning over a laptop,10.83
6_A man leaning over._0,A man in a green suiit leaning over a laptop,7.30
6_A man leaning over._1,A man in a green suiit leaning over a laptop,10.11
6_A man leaning over._3,A man in a green suiit leaning over a laptop,7.53
6_A man leaning over._4,A man in a green suiit leaning over a laptop,8.92
6_A laptop._1,A man in a green suiit leaning over a laptop,5.15
6_A laptop._2,A man in a green suiit leaning over a laptop,6.54
6_A laptop._3,A man in a green suiit leaning over a laptop,6.91
6_A laptop._4,A man in a green suiit leaning over a laptop,4.58
coco_492730_stable_diffusion_v2_1,A woman holding a racquet on top of a tennis court.,16.48
7_A woman on top of a tennis court._0,A woman holding a racquet on top of a tennis court.,15.41
7_A woman on top of a tennis court._1,A woman holding a racquet on top of a tennis court.,16.98
7_A woman on top of a tennis court._2,A woman holding a racquet on top of a tennis court.,16.38
7_A woman on top of a tennis court._3,A woman holding a racquet on top of a tennis court.,14.86
7_A woman on top of a tennis court._4,A woman holding a racquet on top of a tennis court.,16.25
7_A woman holding a racquet._0,A woman holding a racquet on top of a tennis court.,13.58
7_A woman holding a racquet._1,A woman holding a racquet on top of a tennis court.,14.39
7_A woman holding a racquet._2,A woman holding a racquet on top of a tennis court.,6.74
7_A woman holding a racquet._3,A woman holding a racquet on top of a tennis court.,11.16
7_A woman holding a racquet._4,A woman holding a racquet on top of a tennis court.,14.91
7_A racquet in a tennis court._0,A woman holding a racquet on top of a tennis court.,10.43
7_A racquet in a tennis court._1,A woman holding a racquet on top of a tennis court.,9.57
