id,dsg_fuyu,dsg_llava,dsg_mplug,tifa_fuyu,tifa_llava,tifa_mplug
0_A Christmas tree with lights_0.png,1.0,0.8,0.8,0.8333333333333334,0.6666666666666666,0.5
0_A Christmas tree with lights_1.png,0.6,0.8,0.6,0.8333333333333334,0.8333333333333334,0.8333333333333334
0_A Christmas tree with lights_2.png,0.6,0.8,0.8,0.6666666666666666,0.5,0.6666666666666666
0_A Christmas tree with lights_3.png,0.6,0.8,0.8,0.5,0.6666666666666666,0.8333333333333334
0_A Christmas tree with lights_4.png,1.0,0.8,0.8,0.8333333333333334,0.6666666666666666,0.6666666666666666
0_A Christmas tree with teddy bear_1.png,0.8,0.8,0.8,0.6666666666666666,0.6666666666666666,0.8333333333333334
0_A Christmas tree with teddy bear_2.png,1.0,1.0,1.0,0.5,0.8333333333333334,0.8333333333333334
0_A Christmas tree with teddy bear_4.png,0.8,1.0,0.8,0.6666666666666666,0.8333333333333334,0.8333333333333334
0_A Christmas tree_0.png,0.6,0.4,0.2,0.5,0.5,0.5
0_A Christmas tree_1.png,0.8,0.8,0.4,0.6666666666666666,0.6666666666666666,0.6666666666666666
0_A Christmas tree_2.png,0.4,0.8,0.8,0.5,0.6666666666666666,0.3333333333333333
100_A teddy bear._0_dalle_v2.png,0.75,0.75,0.5,0.8571428571428571,0.4285714285714285,0.7142857142857143
100_A teddy bear._1_dalle_v2.png,0.5,0.5,0.75,0.4285714285714285,0.4285714285714285,0.2857142857142857
100_A teddy bear._2_dalle_v2.png,0.75,0.75,0.75,0.4285714285714285,0.5714285714285714,0.5714285714285714
100_A teddy bear._3_dalle_v2.png,1.0,0.5,1.0,0.4285714285714285,0.4285714285714285,0.7142857142857143
100_A teddy bear._4_dalle_v2.png,1.0,1.0,1.0,0.7142857142857143,0.5714285714285714,0.8571428571428571
101_a grassy field_0_dalle_v2.png,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.375,0.375,0.25
101_a grassy field_1_dalle_v2.png,0.3333333333333333,0.2222222222222222,0.4444444444444444,0.5,0.375,0.25
101_a grassy field_2_dalle_v2.png,0.3333333333333333,0.2222222222222222,0.2222222222222222,0.5,0.375,0.25
101_a grassy field_3_dalle_v2.png,0.0,0.2222222222222222,0.2222222222222222,0.25,0.5,0.25
101_a grassy field_4_dalle_v2.png,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.5,0.375,0.25
101_two horses through a grassy field_0_dalle_v2.png,0.6666666666666666,0.4444444444444444,0.4444444444444444,0.625,0.75,0.75
101_two horses through a grassy field_1_dalle_v2.png,0.7777777777777778,0.4444444444444444,0.4444444444444444,0.625,0.75,0.75
101_two horses through a grassy field_2_dalle_v2.png,0.3333333333333333,0.4444444444444444,0.4444444444444444,0.5,0.75,0.75
