id,prompt,question_id,question,choices,answer
0,A Christmas tree with lights and teddy bear,0,is there a Christmas tree?,yes|no,yes
0,A Christmas tree with lights and teddy bear,1,what type of tree is this?,Christmas tree|pine tree|oak tree|palm tree,Christmas tree
0,A Christmas tree with lights and teddy bear,2,are there lights on the Christmas tree?,yes|no,yes
0,A Christmas tree with lights and teddy bear,3,what is on the Christmas tree?,lights|ornaments|garlands|tinsel,lights
0,A Christmas tree with lights and teddy bear,4,is there a teddy bear?,yes|no,yes
0,A Christmas tree with lights and teddy bear,5,what toy is on the Christmas tree?,teddy bear|doll|robot|ball,teddy bear
1,A group of planes near a large wall of windows.,0,are there planes?,yes|no,yes
1,A group of planes near a large wall of windows.,1,is there a wall of windows?,yes|no,yes
1,A group of planes near a large wall of windows.,2,what is behind the planes?,wall of windows|brick wall|wooden wall|concrete wall,wall of windows
1,A group of planes near a large wall of windows.,3,are there a group of planes?,yes|no,yes
1,A group of planes near a large wall of windows.,4,is the wall of windows large?,yes|no,yes
2,A brown bear walking across a forest surrounded by trees.,0,is this a bear?,yes|no,yes
2,A brown bear walking across a forest surrounded by trees.,1,what animal is walking across the forest?,bear|deer|squirrel|rabbit,bear
2,A brown bear walking across a forest surrounded by trees.,2,is this a forest?,yes|no,yes
2,A brown bear walking across a forest surrounded by trees.,3,what type of environment is this?,forest|desert|beach|city,forest
2,A brown bear walking across a forest surrounded by trees.,4,are there trees?,yes|no,yes
2,A brown bear walking across a forest surrounded by trees.,5,is the bear walking?,yes|no,yes
2,A brown bear walking across a forest surrounded by trees.,6,is the bear brown?,yes|no,yes
2,A brown bear walking across a forest surrounded by trees.,7,what color is the bear?,brown|black|white|gray,brown
3,A large motorcycle that is sitting outside of a building.,0,is there a motorcycle?,yes|no,yes
3,A large motorcycle that is sitting outside of a building.,1,is there a building?,yes|no,yes
3,A large motorcycle that is sitting outside of a building.,2,is the motorcycle large?,yes|no,yes
3,A large motorcycle that is sitting outside of a building.,3,what size is the motorcycle?,large|small|medium|extra large,large
3,A large motorcycle that is sitting outside of a building.,4,is the motorcycle outside?,yes|no,yes
3,A large motorcycle that is sitting outside of a building.,5,is the motorcycle outside or inside the building?,outside|inside|on top|underneath,outside
4,A male skateboarder is trying to pull off a trick on the ramp.,0,is this a skateboarder?,yes|no,yes
4,A male skateboarder is trying to pull off a trick on the ramp.,1,who is trying to pull off a trick?,skateboarder|cyclist|rollerblader|surfer,skateboarder
4,A male skateboarder is trying to pull off a trick on the ramp.,2,is there a ramp?,yes|no,yes
4,A male skateboarder is trying to pull off a trick on the ramp.,3,what is the skateboarder trying to do on the ramp?,pull off a trick|ride down|jump over|slide on,pull off a trick
4,A male skateboarder is trying to pull off a trick on the ramp.,4,is the skateboarder male?,yes|no,yes
5,A woman is showing a scooter to another woman.,0,is this a woman?,yes|no,yes
5,A woman is showing a scooter to another woman.,1,who is showing the scooter?,woman|man|boy|girl,woman
5,A woman is showing a scooter to another woman.,2,is there a scooter?,yes|no,yes
5,A woman is showing a scooter to another woman.,3,what vehicle is being shown?,scooter|bicycle|motorcycle|car,scooter
5,A woman is showing a scooter to another woman.,4,is the woman showing a scooter?,yes|no,yes
6,A man in a green suiit leaning over a laptop,0,is this a man?,yes|no,yes
6,A man in a green suiit leaning over a laptop,1,what is the person's gender?,man|woman|boy|girl,man
6,A man in a green suiit leaning over a laptop,2,is the man wearing a green suit?,yes|no,yes
6,A man in a green suiit leaning over a laptop,3,what is the man wearing?,green suit|tuxedo|uniform|jeans and t-shirt,green suit
6,A man in a green suiit leaning over a laptop,4,is there a laptop?,yes|no,yes
6,A man in a green suiit leaning over a laptop,5,what electronic device is in the picture?,laptop|smartphone|tablet|desktop computer,laptop
6,A man in a green suiit leaning over a laptop,6,is the man leaning over the laptop?,yes|no,yes
6,A man in a green suiit leaning over a laptop,7,what is the man doing besides leaning over?,typing|reading|talking|sleeping,leaning over
7,A woman holding a racquet on top of a tennis court.,0,is this a woman?,yes|no,yes
7,A woman holding a racquet on top of a tennis court.,1,who is holding a racquet?,woman|man|boy|girl,woman
7,A woman holding a racquet on top of a tennis court.,2,is there a racquet?,yes|no,yes
7,A woman holding a racquet on top of a tennis court.,3,what is the woman holding?,racquet|ball|bat|club,racquet
7,A woman holding a racquet on top of a tennis court.,4,is this a tennis court?,yes|no,yes
7,A woman holding a racquet on top of a tennis court.,5,what type of court is this?,tennis court|basketball court|soccer field|swimming pool,tennis court
7,A woman holding a racquet on top of a tennis court.,6,is the woman on top of the tennis court?,yes|no,yes
7,A woman holding a racquet on top of a tennis court.,7,is the woman on top of or inside the tennis court?,on top of|inside|next to|behind,on top of
8,One laptop a mouse cords wires and a monitor.,0,is there a laptop?,yes|no,yes
