id,question_id,vqa_answer,mc_answer,correct
0,0,yes,yes,1
0,1,christmas,Christmas tree,1
0,2,yes,yes,1
0,3,lights,lights,1
0,4,yes,yes,1
0,5,bear,teddy bear,1
0,0,yes,yes,1
0,1,christmas,Christmas tree,1
0,2,yes,yes,1
0,3,lights,lights,1
0,4,no,no,0
0,5,ornaments,teddy bear,1
0,0,yes,yes,1
0,1,christmas,Christmas tree,1
0,2,yes,yes,1
0,3,lights,lights,1
0,4,no,no,0
0,5,none,teddy bear,1
0,0,yes,yes,1
0,1,christmas tree,Christmas tree,1
0,2,yes,yes,1
0,3,lights,lights,1
0,4,no,no,0
0,5,none,teddy bear,1
0,0,yes,yes,1
0,1,christmas,Christmas tree,1
0,2,yes,yes,1
0,3,lights,lights,1
0,4,no,no,0
0,5,star,ball,0
0,0,yes,yes,1
0,1,christmas,Christmas tree,1
0,2,yes,yes,1
0,3,lights,lights,1
0,4,no,no,0
0,5,snowman,teddy bear,1
0,0,yes,yes,1
0,1,christmas,Christmas tree,1
0,2,no,no,0
0,3,ornaments,ornaments,0
0,4,yes,yes,1
0,5,bear,teddy bear,1
0,0,yes,yes,1
0,1,christmas,Christmas tree,1
0,2,yes,yes,1
0,3,lights,lights,1
0,4,yes,yes,1
0,5,bear,teddy bear,1
0,0,yes,yes,1
0,1,christmas,Christmas tree,1
0,2,no,no,0
0,3,star,tinsel,0
0,4,yes,yes,1
0,5,star,ball,0
0,0,yes,yes,1
0,1,pine,pine tree,0
0,2,no,no,0
0,3,snow,tinsel,0
0,4,no,no,0
0,5,none,teddy bear,1
0,0,yes,yes,1
0,1,christmas,Christmas tree,1
0,2,no,no,0
0,3,ornaments,ornaments,0
0,4,no,no,0
0,5,ornaments,teddy bear,1
0,0,yes,yes,1
0,1,christmas tree,Christmas tree,1
0,2,no,no,0
0,3,ornaments,ornaments,0
0,4,no,no,0
0,5,ornaments,teddy bear,1
1,0,yes,yes,1
1,1,yes,yes,1
1,2,water,concrete wall,0
1,3,yes,yes,1
1,4,yes,yes,1
1,0,yes,yes,1
1,1,yes,yes,1
1,2,runway,brick wall,0
1,3,yes,yes,1
1,4,yes,yes,1
1,0,yes,yes,1
1,1,no,no,0
1,2,grass,concrete wall,0
1,3,yes,yes,1
1,4,no,no,0
1,0,yes,yes,1
1,1,no,no,0
1,2,sky,brick wall,0
1,3,yes,yes,1
1,4,no,no,0
1,0,yes,yes,1
1,1,yes,yes,1
1,2,clouds,wall of windows,1
1,3,yes,yes,1
1,4,yes,yes,1
1,0,yes,yes,1
1,1,no,no,0
1,2,trees,wooden wall,0
1,3,yes,yes,1
1,4,no,no,0
1,0,no,no,0
1,1,yes,yes,1
1,2,buildings,brick wall,0
1,3,no,no,0
1,4,yes,yes,1
1,0,no,no,0
1,1,yes,yes,1
1,2,sky,brick wall,0
1,3,no,no,0
1,4,yes,yes,1
1,0,no,no,0
1,1,yes,yes,1
1,2,building,concrete wall,0
1,3,no,no,0
1,4,yes,yes,1
1,0,no,no,0
1,1,yes,yes,1
1,2,building,concrete wall,0
1,3,no,no,0
1,4,yes,yes,1
1,0,no,no,0
1,1,yes,yes,1
1,2,trees,wooden wall,0
1,3,no,no,0
1,4,yes,yes,1
2,0,yes,yes,1
2,1,bear,bear,1
2,2,yes,yes,1
2,3,forest,forest,1
2,4,yes,yes,1
2,5,yes,yes,1
2,6,yes,yes,1
2,7,brown,brown,1
2,0,yes,yes,1
2,1,bear,bear,1
2,2,yes,yes,1
2,3,forest,forest,1
2,4,yes,yes,1
2,5,yes,yes,1
2,6,yes,yes,1
2,7,brown,brown,1
2,0,yes,yes,1
2,1,bear,bear,1
2,2,yes,yes,1
2,3,forest,forest,1
2,4,yes,yes,1
2,5,yes,yes,1
2,6,yes,yes,1
2,7,brown,brown,1
2,0,yes,yes,1
2,1,bear,bear,1
2,2,yes,yes,1
2,3,forest,forest,1
2,4,yes,yes,1
2,5,yes,yes,1
2,6,yes,yes,1
2,7,brown,brown,1
2,0,yes,yes,1
2,1,bear,bear,1
2,2,yes,yes,1
2,3,forest,forest,1
2,4,yes,yes,1
2,5,yes,yes,1
2,6,yes,yes,1
2,7,brown,brown,1
2,0,yes,yes,1
2,1,bear,bear,1
2,2,yes,yes,1
2,3,forest,forest,1
2,4,yes,yes,1
2,5,yes,yes,1
2,6,yes,yes,1
2,7,brown,brown,1
2,0,yes,yes,1
2,1,bear,bear,1
2,2,yes,yes,1
2,3,forest,forest,1
2,4,yes,yes,1
2,5,yes,yes,1
2,6,yes,yes,1
2,7,brown,brown,1
2,0,yes,yes,1
2,1,bear,bear,1
2,2,yes,yes,1
2,3,forest,forest,1
2,4,yes,yes,1
2,5,yes,yes,1
2,6,yes,yes,1
2,7,brown,brown,1
2,0,yes,yes,1
2,1,bear,bear,1
