id,prompt,BLIPScore
0_A Christmas tree with lights_0,A Christmas tree with lights and teddy bear,-0.09
0_A Christmas tree with lights_1,A Christmas tree with lights and teddy bear,0.51
0_A Christmas tree with lights_2,A Christmas tree with lights and teddy bear,-0.23
0_A Christmas tree with lights_3,A Christmas tree with lights and teddy bear,-0.57
0_A Christmas tree with lights_4,A Christmas tree with lights and teddy bear,0.05
0_A Christmas tree with teddy bear_1,A Christmas tree with lights and teddy bear,-0.08
0_A Christmas tree with teddy bear_2,A Christmas tree with lights and teddy bear,0.17
0_A Christmas tree with teddy bear_4,A Christmas tree with lights and teddy bear,-0.03
0_A Christmas tree_0,A Christmas tree with lights and teddy bear,-0.21
0_A Christmas tree_1,A Christmas tree with lights and teddy bear,0.14
0_A Christmas tree_2,A Christmas tree with lights and teddy bear,-0.44
coco_325049_stable_diffusion_v2_1,A group of planes near a large wall of windows.,-0.58
1_A group of planes._0,A group of planes near a large wall of windows.,-0.33
1_A group of planes._1,A group of planes near a large wall of windows.,-0.59
1_A group of planes._2,A group of planes near a large wall of windows.,-0.15
1_A group of planes._3,A group of planes near a large wall of windows.,-0.56
1_A group of planes._4,A group of planes near a large wall of windows.,-0.89
1_A large wall of windows._0,A group of planes near a large wall of windows.,-0.31
1_A large wall of windows._1,A group of planes near a large wall of windows.,-0.43
1_A large wall of windows._2,A group of planes near a large wall of windows.,-0.96
1_A large wall of windows._3,A group of planes near a large wall of windows.,-0.89
1_A large wall of windows._4,A group of planes near a large wall of windows.,-0.48
coco_549140_stable_diffusion_v2_1,A brown bear walking across a forest surrounded by trees..,-0.58
2_A brown bear walking across a forest._0,A brown bear walking across a forest surrounded by trees..,-0.11
2_A brown bear walking across a forest._1,A brown bear walking across a forest surrounded by trees..,-0.70
2_A brown bear walking across a forest._2,A brown bear walking across a forest surrounded by trees..,-0.31
2_A brown bear walking across a forest._3,A brown bear walking across a forest surrounded by trees..,-0.78
2_A brown bear walking across a forest._4,A brown bear walking across a forest surrounded by trees..,-0.58
2_A brown bear surrounded by trees._0,A brown bear walking across a forest surrounded by trees..,-0.22
2_A brown bear surrounded by trees._1,A brown bear walking across a forest surrounded by trees..,-0.39
2_A brown bear surrounded by trees._2,A brown bear walking across a forest surrounded by trees..,-0.41
2_A brown bear surrounded by trees._3,A brown bear walking across a forest surrounded by trees..,-0.47
2_A brown bear surrounded by trees._4,A brown bear walking across a forest surrounded by trees..,-0.36
2_A forest surrounded by trees._0,A brown bear walking across a forest surrounded by trees..,-0.09
2_A forest surrounded by trees._1,A brown bear walking across a forest surrounded by trees..,-0.07
2_A forest surrounded by trees._2,A brown bear walking across a forest surrounded by trees..,-0.21
2_A forest surrounded by trees._3,A brown bear walking across a forest surrounded by trees..,-0.18
2_A forest surrounded by trees._4,A brown bear walking across a forest surrounded by trees..,-0.30
2_Forest._0,A brown bear walking across a forest surrounded by trees..,-0.54
2_Forest._1,A brown bear walking across a forest surrounded by trees..,-0.54
2_Forest._2,A brown bear walking across a forest surrounded by trees..,-0.44
2_Forest._3,A brown bear walking across a forest surrounded by trees..,0.17
2_Forest._4,A brown bear walking across a forest surrounded by trees..,-0.31
2_Trees._0,A brown bear walking across a forest surrounded by trees..,-0.11
coco_483317_stable_diffusion_v2_1,A large motorcycle that is sitting outside of a building.,-1.09
3_A large motorcycle that is sitting._0,A large motorcycle that is sitting outside of a building.,-0.87
3_A large motorcycle that is sitting._1,A large motorcycle that is sitting outside of a building.,-0.77
3_A large motorcycle that is sitting._2,A large motorcycle that is sitting outside of a building.,-0.44
3_A large motorcycle that is sitting._3,A large motorcycle that is sitting outside of a building.,-0.05
3_A large motorcycle that is sitting._4,A large motorcycle that is sitting outside of a building.,-0.27
3_Outside of a building._0,A large motorcycle that is sitting outside of a building.,-0.63
3_Outside of a building._1,A large motorcycle that is sitting outside of a building.,-1.04
3_Outside of a building._2,A large motorcycle that is sitting outside of a building.,-0.81
3_Outside of a building._3,A large motorcycle that is sitting outside of a building.,-0.78
3_Outside of a building._4,A large motorcycle that is sitting outside of a building.,-0.47
coco_361740_stable_diffusion_v2_1,A male skateboarder is trying to pull off a trick on the ramp.,-0.54
4_A male skateboarder on the ramp._0,A male skateboarder is trying to pull off a trick on the ramp.,0.19
4_A male skateboarder on the ramp._1,A male skateboarder is trying to pull off a trick on the ramp.,-0.15
4_A male skateboarder on the ramp._2,A male skateboarder is trying to pull off a trick on the ramp.,-0.78
4_A male skateboarder on the ramp._3,A male skateboarder is trying to pull off a trick on the ramp.,-0.07
4_A male skateboarder is trying to pull off a trick._0,A male skateboarder is trying to pull off a trick on the ramp.,-0.44
4_A male skateboarder is trying to pull off a trick._1,A male skateboarder is trying to pull off a trick on the ramp.,-0.59
4_A male skateboarder is trying to pull off a trick._2,A male skateboarder is trying to pull off a trick on the ramp.,-0.80
4_A male skateboarder is trying to pull off a trick._4,A male skateboarder is trying to pull off a trick on the ramp.,0.26
4_Pulling off a trick on the ramp._0,A male skateboarder is trying to pull off a trick on the ramp.,-0.67
4_Pulling off a trick on the ramp._1,A male skateboarder is trying to pull off a trick on the ramp.,-0.43
4_Pulling off a trick on the ramp._2,A male skateboarder is trying to pull off a trick on the ramp.,-0.47
4_Pulling off a trick on the ramp._3,A male skateboarder is trying to pull off a trick on the ramp.,-0.74
4_Pulling off a trick on the ramp._4,A male skateboarder is trying to pull off a trick on the ramp.,-1.02
5_A woman is showing a woman on a scooter._0,A woman is showing a scooter to another woman.,-0.39
5_A woman is showing a woman on a scooter._1,A woman is showing a scooter to another woman.,-0.30
5_A woman is showing a woman on a scooter._2,A woman is showing a scooter to another woman.,-0.01
5_A woman is showing a woman on a scooter._3,A woman is showing a scooter to another woman.,-0.11
5_A woman is showing a woman on a scooter._4,A woman is showing a scooter to another woman.,0.04
5_A woman is showing a watermelon slice to a woman._0,A woman is showing a scooter to another woman.,-0.05
5_A woman is showing a watermelon slice to a woman._1,A woman is showing a scooter to another woman.,-0.67
5_A woman is showing a watermelon slice to a woman._2,A woman is showing a scooter to another woman.,0.42
5_A woman is showing a watermelon slice to a woman._3,A woman is showing a scooter to another woman.,0.23
5_A woman is showing a watermelon slice to a woman._4,A woman is showing a scooter to another woman.,-0.31
5_A woman on a scooter._0,A woman is showing a scooter to another woman.,-0.08
5_A woman on a scooter._1,A woman is showing a scooter to another woman.,-0.29
5_A woman on a scooter._2,A woman is showing a scooter to another woman.,0.26
5_A woman on a scooter._3,A woman is showing a scooter to another woman.,-0.04
