id,prompt,question_id,question,choices,answer
0,A Christmas tree with lights and teddy bear,0,Is there a Christmas tree?,yes|no,yes
0,A Christmas tree with lights and teddy bear,1,Are there lights?,yes|no,yes
0,A Christmas tree with lights and teddy bear,2,Is there a teddy bear?,yes|no,yes
0,A Christmas tree with lights and teddy bear,3,Does the Christmas tree have lights?,yes|no,yes
0,A Christmas tree with lights and teddy bear,4,Are the lights on the Christmas tree?,yes|no,yes
0,A Christmas tree with lights and teddy bear,5,Is the teddy bear near the Christmas tree?,yes|no,yes
1,A group of planes near a large wall of windows.,0,Is there a group of planes?,yes|no,yes
1,A group of planes near a large wall of windows.,1,Is there a wall of windows?,yes|no,yes
1,A group of planes near a large wall of windows.,2,Are there multiple planes?,yes|no,yes
1,A group of planes near a large wall of windows.,3,Are the planes near the wall of windows?,yes|no,yes
2,A brown bear walking across a forest surrounded by trees..,0,Is there a brown bear?,yes|no,yes
2,A brown bear walking across a forest surrounded by trees..,1,Is there a forest?,yes|no,yes
2,A brown bear walking across a forest surrounded by trees..,2,Are there trees?,yes|no,yes
2,A brown bear walking across a forest surrounded by trees..,3,Is the bear walking?,yes|no,yes
2,A brown bear walking across a forest surrounded by trees..,4,Is the bear walking across the forest?,yes|no,yes
2,A brown bear walking across a forest surrounded by trees..,5,Are the trees surrounding the bear?,yes|no,yes
3,A large motorcycle that is sitting outside of a building.,0,Is there a motorcycle?,yes|no,yes
3,A large motorcycle that is sitting outside of a building.,1,Is the motorcycle large?,yes|no,yes
3,A large motorcycle that is sitting outside of a building.,2,Is the motorcycle sitting?,yes|no,yes
3,A large motorcycle that is sitting outside of a building.,3,Is the motorcycle outside of the building?,yes|no,yes
4,A male skateboarder is trying to pull off a trick on the ramp.,0,Is there a male skateboarder?,yes|no,yes
4,A male skateboarder is trying to pull off a trick on the ramp.,1,Is there a ramp?,yes|no,yes
4,A male skateboarder is trying to pull off a trick on the ramp.,2,Is the skateboarder male?,yes|no,yes
