id,question_id,vqa_answer,mc_answer,correct
0,0,yes,yes,1
0,1,yes,yes,1
0,2,yes,yes,1
0,3,yes,yes,1
0,4,yes,yes,1
0,0,yes,yes,1
0,1,yes,yes,1
0,2,no,no,0
0,3,yes,yes,1
0,4,no,no,0
0,0,yes,yes,1
0,1,yes,yes,1
0,2,no,no,0
0,3,yes,yes,1
0,4,yes,yes,1
0,0,yes,yes,1
0,1,yes,yes,1
0,2,no,no,0
0,3,yes,yes,1
0,4,no,no,0
0,0,yes,yes,1
0,1,yes,yes,1
0,2,no,no,0
0,3,yes,yes,1
0,4,no,no,0
0,0,yes,yes,1
0,1,yes,yes,1
0,2,no,no,0
0,3,yes,yes,1
0,4,no,no,0
0,0,yes,yes,1
0,1,yes,yes,1
0,2,yes,yes,1
0,3,no,no,0
0,4,yes,yes,1
0,0,yes,yes,1
0,1,yes,yes,1
0,2,yes,yes,1
0,3,yes,yes,1
0,4,yes,yes,1
0,0,yes,yes,1
0,1,yes,yes,1
0,2,yes,yes,1
0,3,no,no,0
0,4,yes,yes,1
0,0,yes,yes,1
0,1,no,no,0
0,2,no,no,0
0,3,no,no,0
0,4,no,no,0
0,0,yes,yes,1
0,1,no,no,0
0,2,no,no,0
0,3,no,no,0
0,4,yes,yes,1
0,0,yes,yes,1
0,1,yes,yes,1
0,2,no,no,0
0,3,yes,yes,1
0,4,no,no,0
1,0,yes,yes,1
1,1,yes,yes,1
1,2,yes,yes,1
1,3,yes,yes,1
1,0,yes,yes,1
1,1,yes,yes,1
1,2,yes,yes,1
1,3,yes,yes,1
1,0,yes,yes,1
1,1,no,no,0
1,2,yes,yes,1
1,3,no,no,0
1,0,yes,yes,1
1,1,no,no,0
1,2,yes,yes,1
1,3,no,no,0
1,0,yes,yes,1
1,1,yes,yes,1
1,2,yes,yes,1
1,3,yes,yes,1
1,0,yes,yes,1
1,1,no,no,0
1,2,yes,yes,1
1,3,no,no,0
1,0,no,no,0
1,1,yes,yes,1
1,2,no,no,0
1,3,yes,yes,1
1,0,no,no,0
1,1,yes,yes,1
1,2,no,no,0
1,3,no,no,0
1,0,no,no,0
1,1,yes,yes,1
1,2,no,no,0
1,3,yes,yes,1
1,0,no,no,0
1,1,yes,yes,1
1,2,no,no,0
1,3,no,no,0
1,0,no,no,0
1,1,yes,yes,1
1,2,no,no,0
1,3,no,no,0
2,0,yes,yes,1
2,1,yes,yes,1
2,2,yes,yes,1
2,3,yes,yes,1
2,4,yes,yes,1
2,5,yes,yes,1
2,0,yes,yes,1
2,1,yes,yes,1
2,2,yes,yes,1
2,3,yes,yes,1
2,4,yes,yes,1
2,5,yes,yes,1
2,0,yes,yes,1
2,1,yes,yes,1
2,2,yes,yes,1
2,3,yes,yes,1
2,4,yes,yes,1
2,5,yes,yes,1
2,0,yes,yes,1
2,1,yes,yes,1
2,2,yes,yes,1
2,3,yes,yes,1
2,4,yes,yes,1
2,5,yes,yes,1
2,0,yes,yes,1
2,1,yes,yes,1
2,2,yes,yes,1
2,3,yes,yes,1
2,4,yes,yes,1
2,5,yes,yes,1
2,0,yes,yes,1
2,1,yes,yes,1
2,2,yes,yes,1
2,3,yes,yes,1
2,4,yes,yes,1
2,5,yes,yes,1
2,0,yes,yes,1
2,1,yes,yes,1
2,2,yes,yes,1
2,3,yes,yes,1
2,4,yes,yes,1
2,5,yes,yes,1
2,0,yes,yes,1
2,1,yes,yes,1
2,2,yes,yes,1
2,3,yes,yes,1
2,4,yes,yes,1
2,5,yes,yes,1
2,0,yes,yes,1
2,1,yes,yes,1
2,2,yes,yes,1
2,3,yes,yes,1
2,4,yes,yes,1
2,5,yes,yes,1
2,0,yes,yes,1
2,1,yes,yes,1
2,2,yes,yes,1
2,3,yes,yes,1
2,4,yes,yes,1
2,5,yes,yes,1
