id,question_id,vqa_answer,mc_answer,correct
0,0,Yes there is a Christmas tree in the image.,yes,1
0,1,1. Wreaths 2. Ornaments 3. Presents,Christmas tree,1
0,2,No there are no lights on the Christmas tree.,no,0
0,3,The Christmas tree has a teddy bear sitting next to it.,ornaments,0
0,4,Christmas tree,no,0
0,5,A teddy bear is on the Christmas tree.,teddy bear,1
0,0,Yes there is a Christmas tree in the image.,yes,1
0,1,This Christmas tree is a green fir tree.,Christmas tree,1
0,2,Yes there are lights on the Christmas tree.,yes,1
0,3,The Christmas tree is decorated with green lights giving it a festive appearance.,ornaments,0
0,4,yes,yes,1
0,5,A toy is on the Christmas tree.,teddy bear,1
0,0,Christmas,no,0
0,1,Christmas lights,Christmas tree,1
0,2,Yes there are lights on the Christmas tree creating a festive atmosphere.,yes,1
0,3,The Christmas tree has white lights on it.,lights,1
0,4,No there is no teddy bear in the image.,no,0
0,5,A toy is sitting on the Christmas tree which is decorated with white lights.,teddy bear,1
0,0,Yes there is a Christmas tree in the image.,yes,1
0,1,This is a Christmas tree.,Christmas tree,1
0,2,Yes there are lights on the Christmas tree.,yes,1
0,3,The Christmas tree has a star on top of it.,ornaments,0
0,4,no,no,0
0,5,A star.,teddy bear,1
0,0,Evergreen,no,0
0,1,This is a Christmas tree.,Christmas tree,1
0,2,Yes there are lights on the Christmas tree.,yes,1
0,3,The Christmas tree has a star on top of it.,ornaments,0
0,4,No there is no teddy bear in the image.,no,0
0,5,A star is on top of the Christmas tree.,teddy bear,1
0,0,Yes there is a Christmas tree in the image.,yes,1
0,1,This is a Christmas tree.,Christmas tree,1
0,2,Yes there are lights on the Christmas tree.,yes,1
0,3,The Christmas tree is decorated with blue lights giving it a festive appearance.,ornaments,0
0,4,Yes there is a teddy bear next to the Christmas tree.,yes,1
0,5,A toy train is on the Christmas tree.,teddy bear,1
0,0,A white teddy bear.  What color is the bear,no,0
0,1,This tree is a Christmas tree.,Christmas tree,1
0,2,No the Christmas tree is decorated with ornaments but no lights.,no,0
0,3,A white teddy bear is sitting on the Christmas tree.,ornaments,0
0,4,Yes there is a teddy bear on the Christmas tree.,yes,1
0,5,A white teddy bear is on the Christmas tree.,teddy bear,1
0,0,Christmas,no,0
0,1,This tree is a Christmas tree.,Christmas tree,1
0,2,Yes there are lights on the Christmas tree.,yes,1
0,3,On the Christmas tree there is a teddy bear sitting next to a small Christmas tree.,ornaments,0
0,4,Christmas,no,0
0,5,A teddy bear is on the Christmas tree.,teddy bear,1
0,0,Yes there is a Christmas tree in the image.,yes,1
0,1,This tree is a Christmas tree.,Christmas tree,1
0,2,No there are no lights on the Christmas tree.,no,0
0,3,The Christmas tree has a white star on top of it along with several red presents underneath it.,ornaments,0
0,4,Yes there is a teddy bear in the image.,yes,1
0,5,A teddy bear is on the Christmas tree.,teddy bear,1
0,0,Pine tree,no,0
