id,question_id,vqa_answer,mc_answer,correct
0,0,Yes there is a Christmas tree in the room decorated with lights and ornaments.</s>,yes,1
0,1,This is a Christmas tree.</s>,Christmas tree,1
0,2,Yes there are lights on the Christmas tree.</s>,yes,1
0,3,The Christmas tree is lit and decorated with ornaments and lights.</s>,ornaments,0
0,4,Yes there is a teddy bear next to a Christmas tree.</s>,yes,1
0,5,A teddy bear is on the Christmas tree.</s>,teddy bear,1
0,0,Yes there is a Christmas tree in the image and it is decorated with lights and ornaments.</s>,yes,1
0,1,The tree in the image is a Christmas tree.</s>,Christmas tree,1
0,2,Yes there are lights on the Christmas tree.</s>,yes,1
0,3,The Christmas tree has a lot of lights on it adding to its festive appearance.</s>,ornaments,0
0,4,No there is no teddy bear in the image of the Christmas tree decorated with lights and ornaments.</s>,no,0
0,5,A silver toy ornament is on the Christmas tree.</s>,teddy bear,1
0,0,Yes there is a Christmas tree with lights on it.</s>,yes,1
0,1,The tree in the image is a pine tree which is covered with lots of Christmas lights.</s>,Christmas tree,1
0,2,Yes the Christmas tree is adorned with a lot of lights making it bright and festive.</s>,yes,1
0,3,On the Christmas tree there are many white lights and ornaments.</s>,ornaments,0
0,4,No there is no teddy bear in the image of the tree decorated with lights. The image mainly shows a beautifully decorated and lit Christmas tree.</s>,no,0
0,5,There is a teddy bear on the Christmas tree.</s>,teddy bear,1
0,0,Yes there is a Christmas tree in the image.</s>,yes,1
0,1,The tree in the image is a Christmas tree.</s>,Christmas tree,1
0,2,Yes there are lights on the Christmas tree specifically the lights are lit up on the top of the tree.</s>,yes,1
0,3,The Christmas tree has lights and a star on top.</s>,ornaments,0
0,4,No there is no teddy bear in the image. The image shows a small pine tree with a star placed on top of it surrounded by white lights.</s>,no,0
0,5,There is a star toy on the Christmas tree.</s>,teddy bear,1
0,0,Yes there is a Christmas tree in the image.</s>,yes,1
0,1,This is a Christmas tree.</s>,Christmas tree,1
0,2,Yes there are lights on the Christmas tree.</s>,yes,1
0,3,There is a star on top of the Christmas tree.</s>,ornaments,0
0,4,No there is no teddy bear in the image. The image features a small dark tree with a star on top and white lights shining through it.</s>,no,0
0,5,There is a star toy on the Christmas tree.</s>,teddy bear,1
0,0,Yes there is a Christmas tree in the room.</s>,yes,1
0,1,This is a Christmas tree.</s>,Christmas tree,1
0,2,Yes there are lights on the Christmas tree.</s>,yes,1
0,3,The Christmas tree has lights on it.</s>,lights,1
0,4,No there is no teddy bear in the image of the tree with lights and presents.</s>,no,0
0,5,There is a toy Santa on the Christmas tree.</s>,teddy bear,1
0,0,Yes there is a Christmas tree in the image.</s>,yes,1
0,1,The tree in the image is a Christmas tree which is adorned with ornaments including a teddy bear.</s>,Christmas tree,1
0,2,Yes there are lights on the Christmas tree in the image.</s>,yes,1
0,3,The Christmas tree has red ornaments on it.</s>,ornaments,0
0,4,Yes there is a teddy bear in the image.</s>,yes,1
0,5,There is a small teddy bear on the Christmas tree.</s>,teddy bear,1
0,0,Yes there is a Christmas tree placed near the large brown teddy bear and the present.</s>,yes,1
0,1,This is a Christmas tree.</s>,Christmas tree,1
0,2,Yes the Christmas tree is lit up in the image.</s>,yes,1
0,3,The Christmas tree is decorated with ornaments.</s>,ornaments,0
0,4,Yes there is a teddy bear in the scene.</s>,yes,1
0,5,A teddy bear is on the Christmas tree.</s>,teddy bear,1
0,0,Yes there is a Christmas tree in the image.</s>,yes,1
0,1,The tree in the image is a Christmas tree decorated with ornaments and presents.</s>,Christmas tree,1
0,2,Yes there are lights on the Christmas tree creating a festive and bright atmosphere.</s>,yes,1
0,3,The Christmas tree has a star on top.</s>,ornaments,0
0,4,Yes there is a teddy bear in the image.</s>,yes,1
0,5,There is a teddy bear on the Christmas tree.</s>,teddy bear,1
