0,ID                                                                                              0
Prompt                                                A Christmas tree with lights and teddy bear
Image                                                       coco_669925_stable_diffusion_v2_1.jpg
Rank order (higher is “farther away” from start)                                                0
Rank order (higher is “farther away” from start).1                                            0.0
Name: 0, dtype: object/n532,ID                                                                            23
Prompt                                                   words on a blue t-shirt
Image                                                 23_The word 'START'._0.png
Rank order (higher is “farther away” from start)                              1b
Rank order (higher is “farther away” from start).1                           1.0
Name: 532, dtype: object/n533,ID                                                                            23
Prompt                                                   words on a blue t-shirt
Image                                                 23_The word 'START'._1.png
Rank order (higher is “farther away” from start)                              1b
Rank order (higher is “farther away” from start).1                           1.0
Name: 533, dtype: object/n534,ID                                                                            23
Prompt                                                   words on a blue t-shirt
Image                                                 23_The word 'START'._2.png
Rank order (higher is “farther away” from start)                              1b
Rank order (higher is “farther away” from start).1                           1.0
Name: 534, dtype: object/n535,ID                                                                            23
Prompt                                                   words on a blue t-shirt
Image                                                 23_The word 'START'._3.png
Rank order (higher is “farther away” from start)                              1b
Rank order (higher is “farther away” from start).1                           1.0
Name: 535, dtype: object/n536,ID                                                                            23
Prompt                                                   words on a blue t-shirt
Image                                                 23_The word 'START'._4.png
Rank order (higher is “farther away” from start)                              1b
Rank order (higher is “farther away” from start).1                           1.0
Name: 536, dtype: object/n588,ID                                                                           27
Prompt                                                a pumpkin on a man's head
Image                                                     27_a man's head_0.png
Rank order (higher is “farther away” from start)                             1b
Rank order (higher is “farther away” from start).1                          1.0
Name: 588, dtype: object/n589,ID                                                                           27
Prompt                                                a pumpkin on a man's head
Image                                                     27_a man's head_1.png
Rank order (higher is “farther away” from start)                             1b
Rank order (higher is “farther away” from start).1                          1.0
Name: 589, dtype: object/n590,ID                                                                           27
Prompt                                                a pumpkin on a man's head
Image                                                     27_a man's head_2.png
Rank order (higher is “farther away” from start)                             1b
Rank order (higher is “farther away” from start).1                          1.0
Name: 590, dtype: object/n591,ID                                                                           27
Prompt                                                a pumpkin on a man's head
Image                                                     27_a man's head_3.png
Rank order (higher is “farther away” from start)                             1b
Rank order (higher is “farther away” from start).1                          1.0
Name: 591, dtype: object/n592,ID                                                                           27
Prompt                                                a pumpkin on a man's head
Image                                                     27_a man's head_4.png
Rank order (higher is “farther away” from start)                             1b
Rank order (higher is “farther away” from start).1                          1.0
Name: 592, dtype: object/n829,ID                                                                                              45
Prompt                                                a group of beginner snow skiers having class
Image                                                        coco_393304_stable_diffusion_v2_1.jpg
Rank order (higher is “farther away” from start)                                                 0
Rank order (higher is “farther away” from start).1                                             0.0
Name: 829, dtype: object/n1729,ID                                                                                                87
Prompt                                                an aerial photo of a sandy island in the ocean
Image                                                      partiprompt_754_stable_diffusion_v2_1.jpg
Rank order (higher is “farther away” from start)                                                   0
Rank order (higher is “farther away” from start).1                                               0.0
Name: 1729, dtype: object/n2038,ID                                                                                                  100
