id,question_id,vqa_answer,mc_answer,correct
0,0,Yes there is a Christmas tree in the image.,yes,1
0,1,Yes there are lights on the Christmas tree.,yes,1
0,2,yes,yes,1
0,3,Yes the lights on the Christmas tree are bright.,yes,1
0,4,yes,yes,1
0,0,Yes there is a Christmas tree is visible in the image.,yes,1
0,1,Yes there are lights on the Christmas tree.,yes,1
0,2,yes,yes,1
0,3,Yes the lights on the Christmas tree are bright.,yes,1
0,4,yes,yes,1
0,0,Yes there is a Christmas tree in the image.,yes,1
0,1,Yes there are lights on the Christmas tree.,yes,1
0,2,no,no,0
0,3,Yes the lights on the Christmas tree are bright.,yes,1
0,4,no,no,0
0,0,Yes there is a Christmas tree in the image.,yes,1
0,1,Yes there are lights on the Christmas tree.,yes,1
0,2,no,no,0
0,3,Yes the lights on the Christmas tree are bright.,yes,1
0,4,no,no,0
0,0,Yes there is a Christmas tree in the image.,yes,1
0,1,Christmas tree,no,0
0,2,no,no,0
0,3,Yes the lights on the Christmas tree are bright.,yes,1
0,4,no,no,0
0,0,Yes there is a Christmas tree in the image.,yes,1
0,1,Yes there is a Christmas tree with lights.,yes,1
0,2,yes,yes,1
0,3,Yes the lights on the Christmas tree are bright and shining.,yes,1
0,4,yes,yes,1
0,0,Yes there is a Christmas tree in the image.,yes,1
0,1,No there is no lights on the Christmas tree.,no,0
0,2,Yes there is a teddy bear on the Christmas tree.,yes,1
0,3,Yes the lights on the Christmas tree are lit.,yes,1
0,4,Yes,yes,1
0,0,Yes there is a Christmas tree in the image.,yes,1
0,1,Yes there are lights on the Christmas tree.,yes,1
0,2,Yes there is a teddy bear sitting next to a small Christmas tree.,yes,1
0,3,Yes the lights on the Christmas tree are lit.,yes,1
0,4,yes,yes,1
0,0,Yes there is a Christmas tree in the image.,yes,1
0,1,No there is no lights on the Christmas tree.,no,0
0,2,Yes there is a teddy bear in the image.,yes,1
0,3,Yes the lights on the Christmas tree are lit.,yes,1
0,4,yes,yes,1
0,0,Yes there is a Christmas tree is covered in snow.,yes,1
0,1,No,no,0
0,2,no,no,0
0,3,Yes,yes,1
0,4,yes,yes,1
0,0,Yes there is a Christmas tree in the image.,yes,1
0,1,Yes there are lights on the Christmas tree.,yes,1
0,2,no,no,0
0,3,Yes the lights on the Christmas tree are red and white.,yes,1
0,4,yes,yes,1
0,0,Yes there is a Christmas tree in the room.,yes,1
0,1,No,no,0
0,2,no,no,0
0,3,Yes the lights on the Christmas tree are red.,yes,1
0,4,no,no,0
1,0,A jet plane is visible in the image.  What,no,0
1,1,A jetliner and a commercial airplane.  What type of airport is depicted in the image,no,0
1,2, ,no,0
1,3,Yes,yes,1
1,0,Yes there is a group of airplanes is parked on the runway.,yes,1
1,1,Yes there is a wall of windows in the image.,yes,1
1,2,Yes there are multiple airplanes in the image.,yes,1
1,3, ,no,0
1,0,Yes there is a group of planes is visible in the image.,yes,1
1,1,Yes there is a wall of windows in the image.,yes,1
1,2,Yes there are multiple planes in the image.,yes,1
1,3,Yes the airplanes are near the wall of windows.,yes,1
1,0,Yes there is a group of planes is depicted in the image.,yes,1
