id,question_id,vqa_answer,mc_answer,correct
0,0,Yes there is a Christmas tree in the image.</s>,yes,1
0,1,Yes there are lights on the Christmas tree.</s>,yes,1
0,2,Yes there is a teddy bear sitting in front of a Christmas tree.</s>,yes,1
0,3,Yes the Christmas tree is lit up with lights.</s>,yes,1
0,4,Yes the teddy bear is near the Christmas tree.</s>,yes,1
0,0,Yes there is a Christmas tree in the image.</s>,yes,1
0,1,Yes there are several strings of lights around a Christmas tree.</s>,yes,1
0,2,No there is no teddy bear in the image. The Christmas tree is decorated with Christmas balls and lights but no teddy bear is visible.</s>,no,0
0,3,Yes the lights are on the Christmas tree which is covered in ornaments and surrounded by snow.</s>,yes,1
0,4,Yes the teddy bear is sitting near the Christmas tree in the snow.</s>,yes,1
0,0,Yes there is a Christmas tree in the image.</s>,yes,1
0,1,Yes there are lights on the christmas tree which illuminate it and create a warm and festive atmosphere.</s>,yes,1
0,2,No there is no teddy bear in the image. The image shows a pine tree with a lit Christmas tree ornament on it.</s>,no,0
0,3,Yes the Christmas tree is decorated with white lights.</s>,yes,1
0,4,Yes the teddy bear is near the Christmas tree.</s>,yes,1
0,0,Yes there is a Christmas tree in the image.</s>,yes,1
0,1,Yes there are lights on the small tree which are illuminating the tree's branches and adding a festive touch to the scene.</s>,yes,1
0,2,No there is no teddy bear in the image. The image shows a Christmas tree with white lights but it does not contain a teddy bear.</s>,no,0
0,3,Yes the lights are on the Christmas tree.</s>,yes,1
0,4,No there is no teddy bear near the Christmas tree. The image shows a Christmas tree with white lights and a curtain on the wall behind it.</s>,no,0
0,0,Yes there is a Christmas tree in the image.</s>,yes,1
0,1,Yes there are lights on the Christmas tree.</s>,yes,1
0,2,No there is no teddy bear in the image. The image shows a small Christmas tree with a star on top placed in a room.</s>,no,0
0,3,Yes the lights are on the Christmas tree.</s>,yes,1
0,4,Yes the teddy bear is sitting on the chair near the Christmas tree.</s>,yes,1
0,0,Yes there is a Christmas tree in the image.</s>,yes,1
0,1,Yes there are lights in the image specifically around the Christmas tree and on the wall.</s>,yes,1
0,2,No there is no teddy bear in the image.</s>,no,0
0,3,Yes the lights on the Christmas tree are on.</s>,yes,1
0,4,No there is no teddy bear near the Christmas tree.</s>,no,0
0,0,Yes there is a Christmas tree with ornaments.</s>,yes,1
0,1,No there are no lights in the image.</s>,no,0
0,2,Yes there is a teddy bear standing in front of a tree with ornaments.</s>,yes,1
0,3,Yes the lights are turned on on the Christmas tree.</s>,yes,1
0,4,Yes the teddy bear is near the Christmas tree which is covered in Christmas balls and ornaments.</s>,yes,1
0,0,Yes there is a Christmas tree in the image.</s>,yes,1
0,1,Yes there are lights around the Christmas tree which adds to the festive atmosphere of the scene.</s>,yes,1
0,2,Yes there is a teddy bear near a Christmas tree.</s>,yes,1
0,3,Yes the lights are on the Christmas tree.</s>,yes,1
0,4,Yes the teddy bear is sitting next to the Christmas tree.</s>,yes,1
0,0,Yes there is a Christmas tree with a red bow on it.</s>,yes,1
0,1,Yes there is a lit Christmas tree in the image with a star on top.</s>,yes,1
0,2,Yes there is a teddy bear near the Christmas tree with red ribbon.</s>,yes,1
0,3,Yes the lights are on the Christmas tree.</s>,yes,1
0,4,Yes the teddy bear is placed next to the Christmas tree.</s>,yes,1
0,0,Yes there is a large evergreen Christmas tree in the snow surrounded by a snowy yard.</s>,yes,1
0,1,No there are no lights on the tree in the image. The tree is covered in snow and features a large pine cone in the middle but there are no lights visible.</s>,no,0
0,2,No there is no teddy bear in the image. The image features a beautiful snow-covered Christmas tree standing in a snowy yard.</s>,no,0
0,3,Yes the lights are on the Christmas tree and the tree is also covered in snow.</s>,yes,1
