id,target_prompt,fname_old,Image Source,rank,new_fname
0,A Christmas tree with lights and teddy bear,coco_669925_stable_diffusion_v2_1.jpg,SD2.1,0,000-00.jpg
0,A Christmas tree with lights and teddy bear,0_A Christmas tree with lights_0.png,SD2.0,1a,000-01.jpg
0,A Christmas tree with lights and teddy bear,0_A Christmas tree with lights_1.png,SD2.0,1a,000-02.jpg
0,A Christmas tree with lights and teddy bear,0_A Christmas tree with lights_2.png,SD2.0,1a,000-03.jpg
0,A Christmas tree with lights and teddy bear,0_A Christmas tree with lights_3.png,SD2.0,1a,000-04.jpg
0,A Christmas tree with lights and teddy bear,0_A Christmas tree with lights_4.png,SD2.0,1a,000-05.jpg
0,A Christmas tree with lights and teddy bear,0_A Christmas tree with teddy bear_1.png,SD2.0,1b,000-06.jpg
0,A Christmas tree with lights and teddy bear,0_A Christmas tree with teddy bear_2.png,SD2.0,1b,000-07.jpg
0,A Christmas tree with lights and teddy bear,0_A Christmas tree with teddy bear_4.png,SD2.0,1b,000-08.jpg
0,A Christmas tree with lights and teddy bear,0_A Christmas tree_0.png,SD2.0,2,000-09.jpg
0,A Christmas tree with lights and teddy bear,0_A Christmas tree_1.png,SD2.0,2,000-10.jpg
0,A Christmas tree with lights and teddy bear,0_A Christmas tree_2.png,SD2.0,2,000-11.jpg
1,A group of planes near a large wall of windows.,coco_325049_stable_diffusion_v2_1.jpg,SD2.1,0,001-00.jpg
1,A group of planes near a large wall of windows.,1_A group of planes._0.png,SD2.0,1a,001-01.jpg
1,A group of planes near a large wall of windows.,1_A group of planes._1.png,SD2.0,1a,001-02.jpg
1,A group of planes near a large wall of windows.,1_A group of planes._2.png,SD2.0,1a,001-03.jpg
1,A group of planes near a large wall of windows.,1_A group of planes._3.png,SD2.0,1a,001-04.jpg
1,A group of planes near a large wall of windows.,1_A group of planes._4.png,SD2.0,1a,001-05.jpg
1,A group of planes near a large wall of windows.,1_A large wall of windows._0.png,SD2.0,1b,001-06.jpg
1,A group of planes near a large wall of windows.,1_A large wall of windows._1.png,SD2.0,1b,001-07.jpg
1,A group of planes near a large wall of windows.,1_A large wall of windows._2.png,SD2.0,1b,001-08.jpg
1,A group of planes near a large wall of windows.,1_A large wall of windows._3.png,SD2.0,1b,001-09.jpg
1,A group of planes near a large wall of windows.,1_A large wall of windows._4.png,SD2.0,1b,001-10.jpg
2,A brown bear walking across a forest surrounded by trees.,coco_549140_stable_diffusion_v2_1.jpg,SD2.1,0a,002-00.jpg
2,A brown bear walking across a forest surrounded by trees.,2_A brown bear walking across a forest._0.png,SD2.0,0b,002-01.jpg
2,A brown bear walking across a forest surrounded by trees.,2_A brown bear walking across a forest._1.png,SD2.0,0b,002-02.jpg
2,A brown bear walking across a forest surrounded by trees.,2_A brown bear walking across a forest._2.png,SD2.0,0b,002-03.jpg
2,A brown bear walking across a forest surrounded by trees.,2_A brown bear walking across a forest._3.png,SD2.0,0b,002-04.jpg
2,A brown bear walking across a forest surrounded by trees.,2_A brown bear walking across a forest._4.png,SD2.0,0b,002-05.jpg
2,A brown bear walking across a forest surrounded by trees.,2_A brown bear surrounded by trees._0.png,SD2.0,0c,002-06.jpg
2,A brown bear walking across a forest surrounded by trees.,2_A brown bear surrounded by trees._1.png,SD2.0,0c,002-07.jpg
2,A brown bear walking across a forest surrounded by trees.,2_A brown bear surrounded by trees._2.png,SD2.0,0c,002-08.jpg
2,A brown bear walking across a forest surrounded by trees.,2_A brown bear surrounded by trees._3.png,SD2.0,0c,002-09.jpg
2,A brown bear walking across a forest surrounded by trees.,2_A brown bear surrounded by trees._4.png,SD2.0,0c,002-10.jpg
2,A brown bear walking across a forest surrounded by trees.,2_A forest surrounded by trees._0.png,SD2.0,1a,002-11.jpg
2,A brown bear walking across a forest surrounded by trees.,2_A forest surrounded by trees._1.png,SD2.0,1a,002-12.jpg
2,A brown bear walking across a forest surrounded by trees.,2_A forest surrounded by trees._2.png,SD2.0,1a,002-13.jpg
2,A brown bear walking across a forest surrounded by trees.,2_A forest surrounded by trees._3.png,SD2.0,1a,002-14.jpg
2,A brown bear walking across a forest surrounded by trees.,2_A forest surrounded by trees._4.png,SD2.0,1a,002-15.jpg
2,A brown bear walking across a forest surrounded by trees.,2_Forest._0.png,SD2.0,1b,002-16.jpg
2,A brown bear walking across a forest surrounded by trees.,2_Forest._1.png,SD2.0,1b,002-17.jpg
2,A brown bear walking across a forest surrounded by trees.,2_Forest._2.png,SD2.0,1b,002-18.jpg
2,A brown bear walking across a forest surrounded by trees.,2_Forest._3.png,SD2.0,1b,002-19.jpg
2,A brown bear walking across a forest surrounded by trees.,2_Forest._4.png,SD2.0,1b,002-20.jpg
2,A brown bear walking across a forest surrounded by trees.,2_Trees._0.png,SD2.0,2,002-21.jpg
3,A large motorcycle that is sitting outside of a building.,coco_483317_stable_diffusion_v2_1.jpg,SD2.1,0,003-00.jpg
3,A large motorcycle that is sitting outside of a building.,3_A large motorcycle that is sitting._0.png,SD2.0,1a,003-01.jpg
3,A large motorcycle that is sitting outside of a building.,3_A large motorcycle that is sitting._1.png,SD2.0,1a,003-02.jpg
3,A large motorcycle that is sitting outside of a building.,3_A large motorcycle that is sitting._2.png,SD2.0,1a,003-03.jpg
3,A large motorcycle that is sitting outside of a building.,3_A large motorcycle that is sitting._3.png,SD2.0,1a,003-04.jpg
3,A large motorcycle that is sitting outside of a building.,3_A large motorcycle that is sitting._4.png,SD2.0,1a,003-05.jpg
3,A large motorcycle that is sitting outside of a building.,3_Outside of a building._0.png,SD2.0,1b,003-06.jpg
3,A large motorcycle that is sitting outside of a building.,3_Outside of a building._1.png,SD2.0,1b,003-07.jpg
3,A Christmas tree with lights and teddy bear,3_Outside of a building._2.png,SD2.0,1b,003-08.jpg
3,A large motorcycle that is sitting outside of a building.,3_Outside of a building._3.png,SD2.0,1b,003-09.jpg
3,A large motorcycle that is sitting outside of a building.,3_Outside of a building._4.png,SD2.0,1b,003-10.jpg
4,A male skateboarder is trying to pull off a trick on the ramp.,coco_361740_stable_diffusion_v2_1.jpg,SD2.1,0,004-00.jpg
4,A male skateboarder is trying to pull off a trick on the ramp.,4_A male skateboarder on the ramp._0.png,SD2.0,1,004-01.jpg
4,A male skateboarder is trying to pull off a trick on the ramp.,4_A male skateboarder on the ramp._1.png,SD2.0,1,004-02.jpg
4,A male skateboarder is trying to pull off a trick on the ramp.,4_A male skateboarder on the ramp._2.png,SD2.0,1,004-03.jpg
4,A male skateboarder is trying to pull off a trick on the ramp.,4_A male skateboarder on the ramp._3.png,SD2.0,1,004-04.jpg
4,A male skateboarder is trying to pull off a trick on the ramp.,4_A male skateboarder is trying to pull off a trick._0.png,SD2.0,2a,004-05.jpg
4,A male skateboarder is trying to pull off a trick on the ramp.,4_A male skateboarder is trying to pull off a trick._1.png,SD2.0,2a,004-06.jpg
4,A male skateboarder is trying to pull off a trick on the ramp.,4_A male skateboarder is trying to pull off a trick._2.png,SD2.0,2a,004-07.jpg
4,A male skateboarder is trying to pull off a trick on the ramp.,4_A male skateboarder is trying to pull off a trick._4.png,SD2.0,2a,004-08.jpg
4,A male skateboarder is trying to pull off a trick on the ramp.,4_Pulling off a trick on the ramp._0.png,SD2.0,2b,004-09.jpg
4,A male skateboarder is trying to pull off a trick on the ramp.,4_Pulling off a trick on the ramp._1.png,SD2.0,2b,004-10.jpg
4,A male skateboarder is trying to pull off a trick on the ramp.,4_Pulling off a trick on the ramp._2.png,SD2.0,2b,004-11.jpg
4,A male skateboarder is trying to pull off a trick on the ramp.,4_Pulling off a trick on the ramp._3.png,SD2.0,2b,004-12.jpg
4,A male skateboarder is trying to pull off a trick on the ramp.,4_Pulling off a trick on the ramp._4.png,SD2.0,2b,004-13.jpg
5,A woman is showing a scooter to another woman.,5_A woman is showing a woman on a scooter._0.png,SD2.0,0,005-00.jpg
5,A woman is showing a scooter to another woman.,5_A woman is showing a woman on a scooter._1.png,SD2.0,0,005-01.jpg
5,A woman is showing a scooter to another woman.,5_A woman is showing a woman on a scooter._2.png,SD2.0,0,005-02.jpg
5,A woman is showing a scooter to another woman.,5_A woman is showing a woman on a scooter._3.png,SD2.0,0,005-03.jpg
5,A woman is showing a scooter to another woman.,5_A woman is showing a woman on a scooter._4.png,SD2.0,0,005-04.jpg
5,A woman is showing a scooter to another woman.,5_A woman is showing a watermelon slice to a woman._0.png,SD2.0,1,005-05.jpg
5,A woman is showing a scooter to another woman.,5_A woman is showing a watermelon slice to a woman._1.png,SD2.0,1,005-06.jpg
5,A woman is showing a scooter to another woman.,5_A woman is showing a watermelon slice to a woman._2.png,SD2.0,1,005-07.jpg
5,A woman is showing a scooter to another woman.,5_A woman is showing a watermelon slice to a woman._3.png,SD2.0,1,005-08.jpg
5,A woman is showing a scooter to another woman.,5_A woman is showing a watermelon slice to a woman._4.png,SD2.0,1,005-09.jpg
5,A woman is showing a scooter to another woman.,5_A woman on a scooter._0.png,SD2.0,2a,005-10.jpg
5,A woman is showing a scooter to another woman.,5_A woman on a scooter._1.png,SD2.0,2a,005-11.jpg
5,A woman is showing a scooter to another woman.,5_A woman on a scooter._2.png,SD2.0,2a,005-12.jpg
5,A woman is showing a scooter to another woman.,5_A woman on a scooter._3.png,SD2.0,2a,005-13.jpg
5,A woman is showing a scooter to another woman.,5_A woman on a scooter._4.png,SD2.0,2a,005-14.jpg
5,A woman is showing a scooter to another woman.,5_A watermelon slice to a woman._0.png,SD2.0,2b,005-15.jpg
5,A woman is showing a scooter to another woman.,5_A watermelon slice to a woman._2.png,SD2.0,2b,005-16.jpg
5,A woman is showing a scooter to another woman.,5_A watermelon slice to a woman._3.png,SD2.0,2b,005-17.jpg
5,A woman is showing a scooter to another woman.,5_A watermelon slice to a woman._4.png,SD2.0,2b,005-18.jpg
5,A woman is showing a scooter to another woman.,5_A woman with a watermelon slice._1.png,SD2.0,2c,005-19.jpg
5,A woman is showing a scooter to another woman.,5_A woman with a watermelon slice._2.png,SD2.0,2c,005-20.jpg
5,A woman is showing a scooter to another woman.,5_A woman with a watermelon slice._3.png,SD2.0,2c,005-21.jpg
5,A woman is showing a scooter to another woman.,5_A woman with a watermelon slice._4.png,SD2.0,2c,005-22.jpg
5,A woman is showing a scooter to another woman.,5_A watermelon slice._0.png,SD2.0,3a,005-23.jpg
5,A woman is showing a scooter to another woman.,5_A watermelon slice._1.png,SD2.0,3a,005-24.jpg
5,A woman is showing a scooter to another woman.,5_A watermelon slice._2.png,SD2.0,3a,005-25.jpg
5,A woman is showing a scooter to another woman.,5_A watermelon slice._3.png,SD2.0,3a,005-26.jpg
5,A woman is showing a scooter to another woman.,5_A watermelon slice._4.png,SD2.0,3a,005-27.jpg
5,A woman is showing a scooter to another woman.,5_A scooter._0.png,SD2.0,3b,005-28.jpg
5,A woman is showing a scooter to another woman.,5_A scooter._1.png,SD2.0,3b,005-29.jpg
5,A woman is showing a scooter to another woman.,5_A scooter._2.png,SD2.0,3b,005-30.jpg
5,A woman is showing a scooter to another woman.,5_A scooter._3.png,SD2.0,3b,005-31.jpg
6,A man in a green suiit leaning over a laptop,coco_494732_stable_diffusion_v2_1.jpg,SD2.1,0,006-00.jpg
